date,city,reservoir_name,fill_rate_pct
2025-01-31,istanbul,ALIBEY,38.66
2025-02-28,istanbul,ALIBEY,38.66
2025-03-31,istanbul,ALIBEY,38.66
2025-04-30,istanbul,ALIBEY,38.66
2025-05-31,istanbul,ALIBEY,38.66
2025-06-30,istanbul,ALIBEY,38.66
2025-07-31,istanbul,ALIBEY,38.66
2025-08-31,istanbul,ALIBEY,38.66
2025-09-30,istanbul,ALIBEY,38.66
2025-10-31,istanbul,ALIBEY,38.66
2025-11-30,istanbul,ALIBEY,38.66
2025-12-31,istanbul,ALIBEY,38.66
2026-01-31,istanbul,ALIBEY,38.66
2025-01-31,istanbul,BUYUKCEKMECE,49.3
2025-02-28,istanbul,BUYUKCEKMECE,71.98
2025-03-31,istanbul,BUYUKCEKMECE,75.1
2025-04-30,istanbul,BUYUKCEKMECE,71.85
2025-05-31,istanbul,BUYUKCEKMECE,68.26
2025-06-30,istanbul,BUYUKCEKMECE,61.03
2025-07-31,istanbul,BUYUKCEKMECE,51.45
2025-08-31,istanbul,BUYUKCEKMECE,41.69
2025-09-30,istanbul,BUYUKCEKMECE,32.86
2025-10-31,istanbul,BUYUKCEKMECE,26.7
2025-11-30,istanbul,BUYUKCEKMECE,19.88
2025-12-31,istanbul,BUYUKCEKMECE,16.27
2026-01-31,istanbul,BUYUKCEKMECE,18.77
2025-01-31,istanbul,DARLIK,48.48
2025-02-28,istanbul,DARLIK,71.61
2025-03-31,istanbul,DARLIK,78.26
2025-04-30,istanbul,DARLIK,82.15
2025-05-31,istanbul,DARLIK,79.76
2025-06-30,istanbul,DARLIK,72.06
2025-07-31,istanbul,DARLIK,63.78
2025-08-31,istanbul,DARLIK,53.0
2025-09-30,istanbul,DARLIK,43.28
2025-10-31,istanbul,DARLIK,37.77
2025-11-30,istanbul,DARLIK,27.99
2025-12-31,istanbul,DARLIK,28.46
2026-01-31,istanbul,DARLIK,46.68
2025-01-31,istanbul,ELMALI,84.85
2025-02-28,istanbul,ELMALI,89.79
2025-03-31,istanbul,ELMALI,93.96
2025-04-30,istanbul,ELMALI,93.87
2025-05-31,istanbul,ELMALI,92.04
2025-06-30,istanbul,ELMALI,81.06
2025-07-31,istanbul,ELMALI,69.73
2025-08-31,istanbul,ELMALI,59.64
2025-09-30,istanbul,ELMALI,50.83
2025-10-31,istanbul,ELMALI,53.54
2025-11-30,istanbul,ELMALI,49.32
2025-12-31,istanbul,ELMALI,57.66
2026-01-31,istanbul,ELMALI,80.77
2025-01-31,istanbul,ISTRANCALAR,56.31
2025-02-28,istanbul,ISTRANCALAR,93.18
2025-03-31,istanbul,ISTRANCALAR,40.78
2025-04-30,istanbul,ISTRANCALAR,70.08
2025-05-31,istanbul,ISTRANCALAR,34.79
2025-06-30,istanbul,ISTRANCALAR,24.12
2025-07-31,istanbul,ISTRANCALAR,32.39
2025-08-31,istanbul,ISTRANCALAR,32.79
2025-09-30,istanbul,ISTRANCALAR,21.34
2025-10-31,istanbul,ISTRANCALAR,19.41
2025-11-30,istanbul,ISTRANCALAR,26.16
2025-12-31,istanbul,ISTRANCALAR,42.52
2026-01-31,istanbul,ISTRANCALAR,39.31
2025-01-31,istanbul,KAZANDERE,87.2
2025-02-28,istanbul,KAZANDERE,80.82
2025-03-31,istanbul,KAZANDERE,85.07
2025-04-30,istanbul,KAZANDERE,96.18
2025-05-31,istanbul,KAZANDERE,83.38
2025-06-30,istanbul,KAZANDERE,64.87
2025-07-31,istanbul,KAZANDERE,43.67
2025-08-31,istanbul,KAZANDERE,20.04
2025-09-30,istanbul,KAZANDERE,1.92
